,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
0,8,PE,2018-10-09 00:38:21,61,-15.64,-71.6,276.356,1.61
1,1,US,2018-10-08 23:53:00,71,60.79,-161.76,284.25,5.1
2,12,GL,2018-10-09 00:45:46,100,77.48,-69.36,264.306,4.66
3,75,UZ,2018-10-09 00:00:00,87,39.41,67.25,280.15,2.1
4,0,ZA,2018-10-09 00:45:47,23,-30.97,22.13,289.506,3.21
5,0,EC,2018-10-09 00:00:00,73,-0.74,-90.35,296.15,6.7
6,0,ZA,2018-10-09 00:45:48,71,-34.42,19.24,287.356,0.86
7,75,AU,2018-10-09 00:30:00,87,-42.78,147.06,284.15,10.8
8,40,ET,2018-10-09 00:00:00,47,8.96,38.73,287.15,1.5
9,40,CL,2018-10-09 00:00:00,80,-53.16,-70.91,277.15,3.1
10,75,AR,2018-10-09 00:00:00,81,-54.81,-68.31,280.15,8.2
11,40,MX,2018-10-08 23:41:00,50,27.52,-110.01,299.15,3.1
12,92,CI,2018-10-09 00:38:25,93,5.61,-3.16,298.056,3.06
13,92,AU,2018-10-09 00:45:50,91,-34.72,135.86,287.756,8.06
14,68,ID,2018-10-09 00:37:36,100,-0.86,131.25,300.356,2.66
15,0,FR,2018-10-09 00:30:00,93,45.6,-0.6,285.15,1.81
16,64,AU,2018-10-09 00:45:52,100,-33.64,115.35,289.406,7.36
17,0,ID,2018-10-09 00:45:52,91,-0.91,122.88,299.556,2.01
18,20,MT,2018-10-08 23:45:00,94,35.86,14.38,293.15,3.31
19,36,AO,2018-10-09 00:45:53,100,-15.19,12.15,293.056,3.66
20,75,BN,2018-10-09 00:30:00,83,5.28,115.24,303.15,1.0
21,76,RU,2018-10-09 00:45:53,88,60.89,131.98,270.656,1.61
22,90,US,2018-10-08 23:54:00,80,42.65,-73.75,289.85,4.1
23,20,CA,2018-10-09 00:00:00,50,62.45,-114.38,274.15,1.41
24,40,JP,2018-10-09 00:00:00,88,33.93,134.5,293.15,1.5
25,32,RU,2018-10-09 00:36:13,73,68.06,166.44,270.906,1.41
26,12,RU,2018-10-09 00:38:31,81,54.43,31.9,272.406,1.31
27,0,CA,2018-10-09 00:38:31,88,43.74,-81.71,294.906,6.66
28,64,NZ,2018-10-09 00:45:57,69,-46.19,168.86,287.406,6.61
29,0,NE,2018-10-09 00:38:32,28,18.69,12.92,294.606,1.31
30,48,RU,2018-10-09 00:43:18,99,67.47,78.7,273.806,3.86
31,0,ML,2018-10-09 00:38:33,33,22.68,-3.98,294.406,1.26
32,75,CA,2018-10-09 00:00:00,46,63.59,-135.9,272.15,2.6
33,20,NP,2018-10-08 23:50:00,93,27.71,85.32,287.15,1.61
34,0,ZA,2018-10-09 00:00:00,93,-34.53,20.04,286.15,1.0
35,75,AU,2018-10-09 00:30:00,87,-42.88,147.33,284.15,10.8
36,90,US,2018-10-08 23:56:00,76,44.54,-68.42,284.25,3.6
37,36,BR,2018-10-09 00:46:00,93,-20.63,-46.0,292.156,1.21
38,90,US,2018-10-09 00:00:00,89,40.81,-74.0,291.45,2.1
39,68,IN,2018-10-09 00:46:01,98,15.34,74.49,294.106,0.71
40,32,RU,2018-10-09 00:46:01,90,67.46,153.71,270.256,1.46
41,80,AR,2018-10-09 00:46:02,85,-38.31,-60.23,287.156,2.21
42,0,ML,2018-10-09 00:38:38,36,16.77,-3.01,297.106,1.66
43,40,JP,2018-10-09 00:00:00,60,33.82,130.71,294.15,3.1
44,88,AU,2018-10-09 00:38:38,98,-35.34,143.56,289.256,2.16
45,90,US,2018-10-09 00:05:00,92,33.19,-82.53,299.15,3.91
46,100,PF,2018-10-09 00:46:03,100,-23.12,-134.97,293.656,5.21
47,40,US,2018-10-09 00:15:00,59,41.94,-87.87,298.75,3.1
48,75,NO,2018-10-09 00:20:00,93,63.83,10.7,281.15,3.6
49,1,US,2018-10-08 23:55:00,36,36.62,-121.92,297.15,4.6
50,8,CD,2018-10-09 00:38:40,33,-12.89,28.78,291.006,3.76
51,48,RU,2018-10-09 00:46:05,91,68.05,39.51,272.656,8.11
52,0,BO,2018-10-09 00:38:41,57,-14.3,-67.34,302.106,1.96
53,92,AU,2018-10-09 00:46:06,62,-23.58,149.07,297.256,4.66
54,0,PE,2018-10-09 00:00:00,82,-13.71,-76.2,292.15,7.7
55,20,BR,2018-10-09 00:00:00,88,-9.67,-35.74,295.15,3.1
56,92,IS,2018-10-09 00:46:07,100,64.25,-15.21,277.656,3.66
57,0,RU,2018-10-09 00:38:43,80,45.43,40.58,280.256,1.31
58,0,RU,2018-10-09 00:46:08,87,68.75,161.3,272.956,1.61
59,8,AU,2018-10-09 00:46:08,90,-28.95,153.24,294.906,1.66
60,56,PH,2018-10-09 00:38:44,89,10.2,122.99,299.606,1.61
61,0,PF,2018-10-09 00:40:57,100,-9.8,-139.03,300.106,7.46
62,20,US,2018-10-08 23:56:00,72,22.08,-159.32,302.55,5.1
63,20,CA,2018-10-09 00:00:00,73,69.44,-133.03,270.15,3.6
64,90,FR,2018-10-09 00:00:00,100,47.82,6.38,281.15,1.5
65,75,CA,2018-10-09 00:00:00,68,68.22,-135.01,271.15,3.6
66,92,US,2018-10-09 00:46:11,96,37.17,-99.65,291.306,6.06
67,88,BR,2018-10-09 00:46:12,97,-21.64,-41.05,297.106,10.21
68,56,PG,2018-10-09 00:46:12,100,-2.57,150.8,301.306,1.51
69,88,RU,2018-10-09 00:38:47,97,63.19,64.42,275.806,3.56
70,75,MU,2018-10-09 00:00:00,88,-20.41,57.7,295.15,4.6
71,0,ID,2018-10-09 00:38:48,73,-9.65,120.26,298.956,2.21
72,0,AU,2018-10-09 00:30:00,55,-15.77,128.74,305.15,4.6
73,0,IT,2018-10-08 23:50:00,87,45.18,8.4,286.15,1.5
74,75,JP,2018-10-09 00:00:00,78,35.73,140.83,296.15,4.6
75,8,GL,2018-10-09 00:46:15,99,60.14,-45.24,274.606,7.86
76,48,CN,2018-10-09 00:38:50,54,33.74,113.3,291.456,5.56
77,12,ZM,2018-10-09 00:38:50,35,-12.18,26.4,290.006,4.36
78,92,CN,2018-10-09 00:38:51,96,26.59,101.72,285.406,1.16
79,56,RU,2018-10-09 00:38:51,97,67.55,63.78,274.856,2.76
80,1,US,2018-10-08 23:58:00,22,37.66,-121.87,302.55,5.1
81,0,ES,2018-10-09 00:30:00,63,38.18,-1.13,291.15,2.6
82,5,CA,2018-10-09 00:00:00,52,58.52,-117.13,273.15,4.1
83,75,JM,2018-10-09 00:00:00,78,18.44,-78.17,301.15,3.1
84,0,SD,2018-10-09 00:38:53,29,14.2,24.66,294.256,4.91
